Name,Built-in Scoring,Results Review / Dashboard,Interpretation & Normative Data,Notes / Source
PEBL,"Partial — many individual tests write a per-session summary file with a crosstable of common dependent variables (e.g., total correct, mean RT per condition), but this is test-by-test, not a unified scoring engine",No central dashboard — output is local text/CSV files per session; no online review portal,"No built-in norms; published evaluations note that ""most PEBL paradigms still lack proper evaluation of their reliability and validity"" beyond ~10 tasks with separate validity studies",ResearchGate PEBL output FAQ; PMC4690381 (reliability/validity study); PMC9882756 (attention tests evaluation)
Self-Regulation Ontology battery,"Yes — dedicated expfactory-analysis pipeline computes per-task dependent variables from raw trials (accuracy, RT, drift-diffusion model parameters, delay-discounting rate k, etc.)","Results delivered as processed CSVs/R notebooks (e.g., SRO_Retest_Analyses reports); no live participant-facing dashboard","No clinical norms — used for research-construct validation (factor structure, test-retest reliability across 522+ participants), not individual interpretation",PNAS 10.1073/pnas.1818430116 (test-retest reliability); expfactory-analysis GitHub repo
Experiment Factory (expfactory),"No built-in scoring beyond whatever the underlying jsPsych task computes per trial (e.g., raw correct/RT fields)",No dashboard; data delivered as flat files from the deployed container,None built in — purely a deployment/container layer,—
TestMyBrain / Many Brains Project,"Yes — each test has a published, test-specific scoring algorithm",Yes — the TMB Analysis Toolkit provides downloadable test documentation and a data dictionary per test for researchers to build custom analyses,"Yes — reference normative datasets (~1,000 participants, ages 18–89) are provided per test so users can build their own normative models; reliability/factor structure published",Cohen et al. 2021 J Clin Exp Neuropsychol (DNT Toolkit paper); cogsci.testmybrain.org/dashboard/tmb-analysis-toolkit.html
Flowers Team Cognitive Test Battery,No built-in scoring beyond raw per-trial logs (p5.js front end),No dashboard beyond whatever the Django admin exposes for consent/survey records,"None — research code, not a validated/normed clinical battery",—
cognitive-battery (thesimonho),No — outputs a raw response dataframe; scoring logic is left to the researcher,No,None,—
Working Memory Test Battery (Tatool-based),Likely yes for span tasks — partial-credit unit scoring is the standard approach for complex span tasks and is documented in the JORS paper,No dashboard,"No clinical norms, but the JORS paper reports reliability/validity data for the implemented span tasks (research-grade, not clinical norms)",openresearchsoftware.metajnl.com/articles/10.5334/jors.br
Tatool / Tatool-web,Framework-level only — researchers author their own scoring/feedback logic per task; no fixed scoring engine,"Yes, partially — Tatool includes an experimenter-facing web interface to monitor participant progress/compliance during longitudinal cognitive training studies",None built in,tatool.ch features page
ICAR (International Cognitive Ability Resource),"Yes — IRT-based ability (theta) estimation using published item discrimination/difficulty parameters, via tools like the R `psych` package's `scoreIrt()` functions","No dashboard — ICAR is an item bank, not a delivery platform","Yes — parameters were estimated in a norming sample of 96,000+ participants, enabling percentile/normative comparison; ICAR16 validated against WAIS-IV for convergent validity",personality-project.org/r/psych (psych package); ICAR16/WAIS-IV convergent validity study
Niv Lab jsPsych Demos,"Yes for the executive-function tests (Raven's, MaRs-IB, digit symbol matching, vocabulary) which compute standard accuracy/RT scores; reinforcement-learning tasks log trial-by-trial choice and outcome data for downstream computational modeling (e.g., RL/Bayesian model fitting) rather than a single summary score",No dashboard — static demo site plus downloadable/forkable task code; researchers self-host and collect their own data,"No built-in clinical norms; tasks are designed as building blocks for research studies (several originate from published computational psychiatry/decision-neuroscience paradigms) rather than as a normed assessment battery",nivlab.github.io/jspsych-demos; github.com/nivlab/jspsych-demos
