Name,Supports Battery Composition,How Batteries Are Defined,Task Ordering & Randomization,Multi-Session / Longitudinal Support,Participant Tracking & Management,Notes / Source
PEBL,"Yes — battery composition is a core advertised feature","GUI Launcher lets the researcher select any subset of the 100+ test battery tests and chain them into a named ""battery"" run in sequence; battery configuration is saved as a file listing test paths",Fixed sequential order; no built-in randomization of task order within the battery (order set by researcher in config),No native multi-session scheduler; each battery run is a single session; sessions are tracked by data files written per test per session,"No participant-management portal; data files are saved locally per participant/session run, identified by a manually entered participant ID at launch",pebl.sourceforge.net/battery.html
Self-Regulation Ontology battery,"Yes — the full study IS a multi-session battery (37 tasks + 22 surveys across ~9-10 days)","Battery defined by the set of experiments checked into the Experiment Factory container + a study schedule config (participants complete subsets across sessions)","Fixed task assignment per session; task order within each session not randomized across participants in the original study design","Yes — explicitly multi-session; Experiment Factory's session token (unique URL per participant) persists state so participants can close the browser and return; cross-session scheduling managed at the study-administration level","Sessions tracked by participant ID token; researcher monitors completion via flat-file output; no GUI management dashboard",PNAS 10.1073/pnas.1818430116; expfactory.readthedocs.io
Experiment Factory (expfactory),"Yes — battery composition is its primary purpose","CLI command specifies which experiments to include: `expfactory --run --experiments exp1,exp2,exp3`; generates a Docker container with those experiments in sequence; also supports `--generate` to produce a static folder","Task order set by researcher in the CLI/config; randomization of order not automatic but can be arranged at config level","Yes — a unique session URL is generated per participant that persists state across browser close; supports multi-session designs","Participant sessions tracked by unique ID token; completion state stored in container flat files; no GUI dashboard — researcher inspects output files","Frontiers 10.3389/fpsyg.2016.00610 (Experiment Factory paper); expfactory.readthedocs.io"
TestMyBrain / Many Brains Project,"Yes — via TMB Custom Studies (contact-based, not a self-serve GUI)","Researcher contacts Many Brains Project and selects from the full TMB Test List to define a custom battery; includes access to ultra-brief forms and alternate longitudinal forms","Order specified by researcher and communicated to participants (participants are directed to take batteries in a specified sequence)","Yes — explicit support for longitudinal alternate test forms and high-frequency assessment (ultra-brief forms); participants return to complete additional batteries over time","Custom studies include bulk data download and automated data delivery; no self-serve participant portal — managed by Many Brains Project on the researcher's behalf","cogsci.testmybrain.org/dashboard/researcher-dashboard.html; testmybrain.org/using-tmb/tmb-toolkits.html"
Flowers Team Cognitive Test Battery,Fixed battery only — not configurable,"Battery is hardcoded: all 7 tasks run in sequence as defined in the Django app; no configuration of which tasks to include","Fixed sequential order (defined in source code); no randomization across participants","No multi-session support — single-session design","Participant progress tracked by Django session/consent records; no separate participant management panel",github.com/flowersteam/cognitive-testbattery
cognitive-battery (thesimonho),"Yes — the launcher (`run_battery.py`) is explicitly a battery runner","Researcher edits a config or the launcher script to select which Python task modules to include and in what order",Order specified in the launch script; no automatic randomization built in,"No multi-session support — local single-session run","No participant tracking — data saved as local files identified by a manually entered participant ID","github.com/thesimonho/cognitive-battery"
Working Memory Test Battery (Tatool-based),"Yes — composed using Tatool's session/unit framework","Battery defined as a Tatool study XML config specifying which task units (e.g., operation span, symmetry span) run in each session","Session schedule specifies order; some randomization possible within task blocks via Tatool unit settings","Yes — Tatool's session scheduler supports multi-session designs (sequential sessions across days)","Researcher monitors participation via Tatool web interface; participant data stored in Tatool's database","openresearchsoftware.metajnl.com/articles/10.5334/jors.br; Springer 10.3758/s13428-012-0224-y"
Tatool / Tatool-web,"Yes — multi-task multi-session battery design is the framework's main purpose","Study design defined as nested Units (tasks) and Modules (blocks of tasks) in a study XML config; can include multiple heterogeneous tasks in one study","Task/block order defined in config; adaptive training algorithms can alter what gets presented next based on performance; some randomization of stimuli within tasks","Yes — explicit multi-session longitudinal support with configurable session schedules (how many sessions, days between); home-based self-administration supported","Researcher-facing web interface (Tatool Online) monitors individual participants' session completion and commitment in real time; bulk participant management","tatool.ch; Springer 10.3758/s13428-012-0224-y"
ICAR,"No battery management — ICAR is an item bank only","N/A — researcher assembles ICAR items within whatever external delivery platform they use (Qualtrics, Concerto, etc.)","Depends entirely on the host platform","Depends entirely on the host platform","Depends entirely on the host platform","—"
Niv Lab jsPsych Demos,"No built-in battery composition — each demo is a standalone jsPsych file","N/A as distributed; tasks CAN be chained using jsPsych timeline code since each task is standard jsPsych, but no battery builder is provided","N/A","No multi-session support built in","No participant management","nivlab.github.io/jspsych-demos"
